ANNEE,CPAYS,PAYS,VALP
2012,2,Afghanistan,30696958.0
2013,2,Afghanistan,31731688.0
2017,2,Afghanistan,35530081.0
2012,202,Afrique du Sud,52998213.0
2013,202,Afrique du Sud,53767396.0
2017,202,Afrique du Sud,56717156.0
2012,3,Albanie,2920039.0
2013,3,Albanie,2918978.0
2017,3,Albanie,2930187.0
2012,4,Algérie,37565847.0
2013,4,Algérie,38338562.0
2017,4,Algérie,41318142.0
2012,79,Allemagne,81066228.0
2013,79,Allemagne,81265139.0
2017,79,Allemagne,82114224.0
2012,6,Andorre,82431.0
2013,6,Andorre,80788.0
2017,6,Andorre,76965.0
2012,7,Angola,25096150.0
2013,7,Angola,25998340.0
2017,7,Angola,29784193.0
2012,258,Anguilla,14129.0
2013,258,Anguilla,14299.0
2017,258,Anguilla,14909.0
2012,8,Antigua-et-Barbuda,96777.0
2013,8,Antigua-et-Barbuda,97824.0
2017,8,Antigua-et-Barbuda,102012.0
2012,194,Arabie saoudite,29086357.0
2013,194,Arabie saoudite,29944476.0
2017,194,Arabie saoudite,32938213.0
2012,9,Argentine,42096739.0
2013,9,Argentine,42539925.0
2017,9,Argentine,44271041.0
2012,1,Arménie,2881922.0
2013,1,Arménie,2893509.0
2017,1,Arménie,2930450.0
2012,22,Aruba,102577.0
2013,22,Aruba,103187.0
2017,22,Aruba,105264.0
2012,10,Australie,22821849.0
2013,10,Australie,23150729.0
2017,10,Australie,24450561.0
2012,11,Autriche,8517548.0
2013,11,Autriche,8577782.0
2017,11,Autriche,8735453.0
2012,52,Azerbaïdjan,9264917.0
2013,52,Azerbaïdjan,9385293.0
2017,52,Azerbaïdjan,9827589.0
2012,12,Bahamas,372039.0
2013,12,Bahamas,377240.0
2017,12,Bahamas,395361.0
2012,13,Bahreïn,1300217.0
2013,13,Bahreïn,1315411.0
2017,13,Bahreïn,1492584.0
2012,16,Bangladesh,155727053.0
2013,16,Bangladesh,157571292.0
2017,16,Bangladesh,164669751.0
2012,14,Barbade,281585.0
2013,14,Barbade,282509.0
2017,14,Barbade,285719.0
2012,57,Bélarus,9471730.0
2013,57,Bélarus,9478902.0
2017,57,Bélarus,9468338.0
2012,255,Belgique,11083550.0
2013,255,Belgique,11151512.0
2017,255,Belgique,11429336.0
2012,23,Belize,336701.0
2013,23,Belize,344181.0
2017,23,Belize,374681.0
2012,53,Bénin,9729160.0
2013,53,Bénin,10004451.0
2017,53,Bénin,11175692.0
2012,17,Bermudes,63179.0
2013,17,Bermudes,62771.0
2017,17,Bermudes,61349.0
2012,18,Bhoutan,752967.0
2013,18,Bhoutan,764961.0
2017,18,Bhoutan,807610.0
2012,19,Bolivie (État plurinational de),10239004.0
2013,19,Bolivie (État plurinational de),10400264.0
2017,19,Bolivie (État plurinational de),11051600.0
2012,80,Bosnie-Herzégovine,3648200.0
2013,80,Bosnie-Herzégovine,3604999.0
2017,80,Bosnie-Herzégovine,3507017.0
2012,20,Botswana,2089315.0
2013,20,Botswana,2128507.0
2017,20,Botswana,2291661.0
2012,21,Brésil,200560983.0
2013,21,Brésil,202408632.0
2017,21,Brésil,209288278.0
2012,26,Brunéi Darussalam,399748.0
2013,26,Brunéi Darussalam,405716.0
2017,26,Brunéi Darussalam,428697.0
2012,27,Bulgarie,7310383.0
2013,27,Bulgarie,7266141.0
2017,27,Bulgarie,7084571.0
2012,233,Burkina Faso,16571216.0
2013,233,Burkina Faso,17072723.0
2017,233,Burkina Faso,19193382.0
2012,29,Burundi,9319710.0
2013,29,Burundi,9600186.0
2017,29,Burundi,10864245.0
2012,35,Cabo Verde,513979.0
2013,35,Cabo Verde,520106.0
2017,35,Cabo Verde,546388.0
2012,115,Cambodge,14776866.0
2013,115,Cambodge,15022692.0
2017,115,Cambodge,16005373.0
2012,32,Cameroun,21082383.0
2013,32,Cameroun,21655715.0
2017,32,Cameroun,24053727.0
2012,33,Canada,34900705.0
2013,33,Canada,35255495.0
2017,33,Canada,36624199.0
2012,40,Chili,17309746.0
2013,40,Chili,17462982.0
2017,40,Chili,18054726.0
2012,96,Chine - RAS de Hong-Kong,7106399.0
2013,96,Chine - RAS de Hong-Kong,7148571.0
2017,96,Chine - RAS de Hong-Kong,7364883.0
2012,128,Chine - RAS de Macao,562531.0
2013,128,Chine - RAS de Macao,575841.0
2017,128,Chine - RAS de Macao,622567.0
2012,41,"Chine, continentale",1375198619.0
2013,41,"Chine, continentale",1382793212.0
2017,41,"Chine, continentale",1409517397.0
2012,214,"Chine, Taiwan Province de",23263897.0
2013,214,"Chine, Taiwan Province de",23339858.0
2017,214,"Chine, Taiwan Province de",23626456.0
2012,50,Chypre,1135062.0
2013,50,Chypre,1143896.0
2017,50,Chypre,1179551.0
2012,44,Colombie,46881475.0
2013,44,Colombie,47342981.0
2017,44,Colombie,49065615.0
2012,45,Comores,723868.0
2013,45,Comores,741500.0
2017,45,Comores,813912.0
2012,46,Congo,4633363.0
2013,46,Congo,4751393.0
2017,46,Congo,5260750.0
2012,48,Costa Rica,4654122.0
2013,48,Costa Rica,4706401.0
2017,48,Costa Rica,4905769.0
2012,107,Côte d'Ivoire,21418603.0
2013,107,Côte d'Ivoire,21966312.0
2017,107,Côte d'Ivoire,24294750.0
2012,98,Croatie,4296526.0
2013,98,Croatie,4277806.0
2017,98,Croatie,4189353.0
2012,49,Cuba,11382146.0
2013,49,Cuba,11412167.0
2017,49,Cuba,11484636.0
2012,54,Danemark,5610660.0
2013,54,Danemark,5637817.0
2017,54,Danemark,5733551.0
2012,72,Djibouti,881185.0
2013,72,Djibouti,896688.0
2017,72,Djibouti,956985.0
2012,55,Dominique,72044.0
2013,55,Dominique,72400.0
2017,55,Dominique,73925.0
2012,59,Égypte,87813257.0
2013,59,Égypte,89807433.0
2017,59,Égypte,97553151.0
2012,60,El Salvador,6221246.0
2013,60,El Salvador,6250777.0
2017,60,El Salvador,6377853.0
2012,225,Émirats arabes unis,8900453.0
2013,225,Émirats arabes unis,9006263.0
2017,225,Émirats arabes unis,9400145.0
2012,58,Équateur,15419666.0
2013,58,Équateur,15661547.0
2017,58,Équateur,16624858.0
2012,178,Érythrée,4560977.0
2013,178,Érythrée,4650998.0
2017,178,Érythrée,5068831.0
2012,203,Espagne,46857404.0
2013,203,Espagne,46697553.0
2017,203,Espagne,46354321.0
2012,63,Estonie,1324934.0
2013,63,Estonie,1321560.0
2017,63,Estonie,1309632.0
2012,231,États-Unis d'Amérique,313335423.0
2013,231,États-Unis d'Amérique,315536676.0
2017,231,États-Unis d'Amérique,324459463.0
2012,238,Éthiopie,92444183.0
2013,238,Éthiopie,94887724.0
2017,238,Éthiopie,104957438.0
2012,185,Fédération de Russie,143420597.0
2013,185,Fédération de Russie,143597230.0
2017,185,Fédération de Russie,143989754.0
2012,66,Fidji,873596.0
2013,66,Fidji,879715.0
2017,66,Fidji,905502.0
2012,67,Finlande,5412980.0
2013,67,Finlande,5436616.0
2017,67,Finlande,5523231.0
2012,68,France,63639873.0
2013,68,France,63919917.0
2017,68,France,64979548.0
2012,74,Gabon,1756817.0
2013,74,Gabon,1817271.0
2017,74,Gabon,2025137.0
2012,75,Gambie,1802125.0
2013,75,Gambie,1859324.0
2017,75,Gambie,2100568.0
2012,73,Géorgie,4107719.0
2013,73,Géorgie,4045910.0
2017,73,Géorgie,3912061.0
2012,81,Ghana,25733049.0
2013,81,Ghana,26346251.0
2017,81,Ghana,28833629.0
2012,82,Gibraltar,33623.0
2013,82,Gibraltar,33831.0
2017,82,Gibraltar,34571.0
2012,84,Grèce,11378257.0
2013,84,Grèce,11321300.0
2017,84,Grèce,11159773.0
2012,86,Grenade,105481.0
2013,86,Grenade,105909.0
2017,86,Grenade,107825.0
2012,85,Groenland,56470.0
2013,85,Groenland,56414.0
2017,85,Groenland,56480.0
2012,87,Guadeloupe,451602.0
2013,87,Guadeloupe,451338.0
2017,87,Guadeloupe,449568.0
2012,88,Guam,159973.0
2013,88,Guam,160375.0
2017,88,Guam,164229.0
2012,89,Guatemala,15271056.0
2013,89,Guatemala,15596214.0
2017,89,Guatemala,16913503.0
2012,90,Guinée,11281469.0
2013,90,Guinée,11536615.0
2017,90,Guinée,12717176.0
2012,61,Guinée équatoriale,1038593.0
2013,61,Guinée équatoriale,1083746.0
2017,61,Guinée équatoriale,1267689.0
2012,175,Guinée-Bissau,1638139.0
2013,175,Guinée-Bissau,1681495.0
2017,175,Guinée-Bissau,1861283.0
2012,91,Guyana,753091.0
2013,91,Guyana,758081.0
2017,91,Guyana,777859.0
2012,69,Guyane française,247463.0
2013,69,Guyane française,254503.0
2017,69,Guyane française,282731.0
2012,93,Haïti,10289210.0
2013,93,Haïti,10431776.0
2017,93,Haïti,10981229.0
2012,95,Honduras,8505646.0
2013,95,Honduras,8657785.0
2017,95,Honduras,9265067.0
2012,97,Hongrie,9869684.0
2013,97,Hongrie,9841697.0
2017,97,Hongrie,9721559.0
2012,264,Île de Man,81406.0
2013,264,Île de Man,82013.0
2017,264,Île de Man,84287.0
2012,259,Iles Anglo-Normandes,161358.0
2013,259,Iles Anglo-Normandes,162180.0
2017,259,Iles Anglo-Normandes,165314.0
2012,36,Îles Caïmanes,57523.0
2013,36,Îles Caïmanes,58371.0
2017,36,Îles Caïmanes,61559.0
2012,47,Îles Cook,17996.0
2013,47,Îles Cook,17767.0
2017,47,Îles Cook,17380.0
2012,65,Îles Falkland,2858.0
2013,65,Îles Falkland,2870.0
2017,65,Îles Falkland,2910.0
2012,64,Îles Féroé,48666.0
2013,64,Îles Féroé,48747.0
2017,64,Îles Féroé,49290.0
2012,163,Îles Mariannes du Nord,53718.0
2013,163,Îles Mariannes du Nord,54036.0
2017,163,Îles Mariannes du Nord,55144.0
2012,127,Îles Marshall,52663.0
2013,127,Îles Marshall,52793.0
2017,127,Îles Marshall,53127.0
2012,25,Îles Salomon,551531.0
2013,25,Îles Salomon,563513.0
2017,25,Îles Salomon,611343.0
2012,224,Îles Turques et Caïques,32431.0
2013,224,Îles Turques et Caïques,33108.0
2017,224,Îles Turques et Caïques,35446.0
2012,240,Îles Vierges américaines,105557.0
2013,240,Îles Vierges américaines,105311.0
2017,240,Îles Vierges américaines,104901.0
2012,239,Îles Vierges britanniques,28509.0
2013,239,Îles Vierges britanniques,29056.0
2017,239,Îles Vierges britanniques,31196.0
2012,243,Îles Wallis et Futuna,12836.0
2013,243,Îles Wallis et Futuna,12551.0
2017,243,Îles Wallis et Futuna,11773.0
2012,100,Inde,1263065852.0
2013,100,Inde,1278562207.0
2017,100,Inde,1339180127.0
2012,101,Indonésie,248883232.0
2013,101,Indonésie,252032263.0
2017,101,Indonésie,263991379.0
2012,102,Iran (République islamique d'),76453574.0
2013,102,Iran (République islamique d'),77435384.0
2017,102,Iran (République islamique d'),81162788.0
2012,103,Iraq,32776571.0
2013,103,Iraq,33883145.0
