ANNEE,CPAYS,PAYS,NB_PERS_SSN
2013,2,Afghanistan,8100000.0
2016,2,Afghanistan,10500000.0
2013,202,Afrique du Sud,2600000.0
2016,202,Afrique du Sud,3400000.0
2013,3,Albanie,200000.0
2016,3,Albanie,200000.0
2013,4,Algérie,1800000.0
2016,4,Algérie,1900000.0
2013,79,Allemagne,0.0
2016,79,Allemagne,0.0
2013,6,Andorre,0.0
2016,6,Andorre,0.0
2013,7,Angola,8000000.0
2016,7,Angola,6900000.0
2013,8,Antigua-et-Barbuda,0.0
2016,8,Antigua-et-Barbuda,0.0
2013,194,Arabie saoudite,1600000.0
2016,194,Arabie saoudite,1800000.0
2013,9,Argentine,1500000.0
2016,9,Argentine,1700000.0
2013,1,Arménie,100000.0
2016,1,Arménie,100000.0
2013,10,Australie,0.0
2016,10,Australie,0.0
2013,11,Autriche,0.0
2016,11,Autriche,0.0
2013,52,Azerbaïdjan,0.0
2016,52,Azerbaïdjan,0.0
2013,12,Bahamas,0.0
2016,12,Bahamas,0.0
2013,13,Bahreïn,0.0
2016,13,Bahreïn,0.0
2013,16,Bangladesh,26400000.0
2016,16,Bangladesh,24800000.0
2013,14,Barbade,0.0
2016,14,Barbade,0.0
2013,57,Bélarus,0.0
2016,57,Bélarus,0.0
2013,255,Belgique,0.0
2016,255,Belgique,0.0
2013,23,Belize,0.0
2016,23,Belize,0.0
2013,53,Bénin,1000000.0
2016,53,Bénin,1100000.0
2013,17,Bermudes,0.0
2016,17,Bermudes,0.0
2013,18,Bhoutan,0.0
2016,18,Bhoutan,0.0
2013,19,Bolivie (État plurinational de),2200000.0
2016,19,Bolivie (État plurinational de),2200000.0
2013,80,Bosnie-Herzégovine,0.0
2016,80,Bosnie-Herzégovine,0.0
2013,20,Botswana,500000.0
2016,20,Botswana,600000.0
2013,21,Brésil,0.0
2016,21,Brésil,0.0
2013,26,Brunéi Darussalam,0.0
2016,26,Brunéi Darussalam,0.0
2013,27,Bulgarie,300000.0
2016,27,Bulgarie,200000.0
2013,233,Burkina Faso,3500000.0
2016,233,Burkina Faso,4000000.0
2013,29,Burundi,0.0
2016,29,Burundi,0.0
2013,35,Cabo Verde,0.0
2016,35,Cabo Verde,0.0
2013,115,Cambodge,2800000.0
2016,115,Cambodge,2900000.0
2013,32,Cameroun,1600000.0
2016,32,Cameroun,1700000.0
2013,33,Canada,0.0
2016,33,Canada,0.0
2013,40,Chili,600000.0
2016,40,Chili,600000.0
2013,96,Chine - RAS de Hong-Kong,0.0
2016,96,Chine - RAS de Hong-Kong,0.0
2013,128,Chine - RAS de Macao,0.0
2016,128,Chine - RAS de Macao,0.0
2013,41,"Chine, continentale",136200000.0
2016,41,"Chine, continentale",123500000.0
2013,214,"Chine, Taiwan Province de",1000000.0
2016,214,"Chine, Taiwan Province de",800000.0
2013,50,Chypre,0.0
2016,50,Chypre,0.0
2013,44,Colombie,4200000.0
2016,44,Colombie,3200000.0
2013,45,Comores,0.0
2016,45,Comores,0.0
2013,46,Congo,1800000.0
2016,46,Congo,1900000.0
2013,48,Costa Rica,300000.0
2016,48,Costa Rica,200000.0
2013,107,Côte d'Ivoire,4700000.0
2016,107,Côte d'Ivoire,4900000.0
2013,98,Croatie,0.0
2016,98,Croatie,0.0
2013,49,Cuba,0.0
2016,49,Cuba,0.0
2013,54,Danemark,0.0
2016,54,Danemark,0.0
2013,72,Djibouti,200000.0
2016,72,Djibouti,200000.0
2013,55,Dominique,0.0
2016,55,Dominique,0.0
2013,59,Égypte,3900000.0
2016,59,Égypte,4600000.0
2013,60,El Salvador,700000.0
2016,60,El Salvador,700000.0
2013,225,Émirats arabes unis,400000.0
2016,225,Émirats arabes unis,200000.0
2013,58,Équateur,1300000.0
2016,58,Équateur,1300000.0
2013,178,Érythrée,0.0
2016,178,Érythrée,0.0
2013,203,Espagne,0.0
2016,203,Espagne,0.0
2013,63,Estonie,0.0
2016,63,Estonie,0.0
2013,209,Eswatini,300000.0
2016,209,Eswatini,300000.0
2013,231,États-Unis d'Amérique,0.0
2016,231,États-Unis d'Amérique,0.0
2013,238,Éthiopie,25500000.0
2016,238,Éthiopie,21900000.0
2013,185,Fédération de Russie,0.0
2016,185,Fédération de Russie,0.0
2013,66,Fidji,0.0
2016,66,Fidji,0.0
2013,67,Finlande,0.0
2016,67,Finlande,0.0
2013,68,France,0.0
2016,68,France,0.0
2013,74,Gabon,200000.0
2016,74,Gabon,200000.0
2013,75,Gambie,200000.0
2016,75,Gambie,200000.0
2013,73,Géorgie,300000.0
2016,73,Géorgie,300000.0
2013,81,Ghana,1700000.0
2016,81,Ghana,1700000.0
2013,84,Grèce,0.0
2016,84,Grèce,0.0
2013,86,Grenade,0.0
2016,86,Grenade,0.0
2013,85,Groenland,0.0
2016,85,Groenland,0.0
2013,89,Guatemala,2600000.0
2016,89,Guatemala,2600000.0
2013,90,Guinée,1900000.0
2016,90,Guinée,2400000.0
2013,61,Guinée équatoriale,0.0
2016,61,Guinée équatoriale,0.0
2013,175,Guinée-Bissau,400000.0
2016,175,Guinée-Bissau,500000.0
2013,91,Guyana,0.0
2016,91,Guyana,0.0
2013,93,Haïti,5200000.0
2016,93,Haïti,5000000.0
2013,95,Honduras,1300000.0
2016,95,Honduras,1400000.0
2013,97,Hongrie,0.0
2016,97,Hongrie,0.0
2013,47,Îles Cook,0.0
2016,47,Îles Cook,0.0
2013,127,Îles Marshall,0.0
2016,127,Îles Marshall,0.0
2013,25,Îles Salomon,0.0
2016,25,Îles Salomon,0.0
2013,100,Inde,213100000.0
2016,100,Inde,195900000.0
2013,101,Indonésie,19100000.0
2016,101,Indonésie,20200000.0
2013,102,Iran (République islamique d'),4200000.0
2016,102,Iran (République islamique d'),4000000.0
2013,103,Iraq,9300000.0
2016,103,Iraq,10300000.0
2013,104,Irlande,0.0
2016,104,Irlande,0.0
2013,99,Islande,0.0
2016,99,Islande,0.0
2013,105,Israël,0.0
2016,105,Israël,0.0
2013,106,Italie,0.0
2016,106,Italie,0.0
2013,109,Jamaïque,300000.0
2016,109,Jamaïque,300000.0
2013,110,Japon,0.0
2016,110,Japon,0.0
2013,112,Jordanie,900000.0
2016,112,Jordanie,1300000.0
2013,108,Kazakhstan,0.0
2016,108,Kazakhstan,0.0
2013,114,Kenya,9300000.0
2016,114,Kenya,11700000.0
2013,113,Kirghizistan,400000.0
2016,113,Kirghizistan,400000.0
2013,83,Kiribati,0.0
2016,83,Kiribati,0.0
2013,118,Koweït,0.0
2016,118,Koweït,0.0
2013,122,Lesotho,300000.0
2016,122,Lesotho,300000.0
2013,119,Lettonie,0.0
2016,119,Lettonie,0.0
2013,154,l'ex-République yougoslave de Macédoine,0.0
2016,154,l'ex-République yougoslave de Macédoine,0.0
2013,121,Liban,500000.0
2016,121,Liban,700000.0
2013,123,Libéria,1600000.0
2016,123,Libéria,1800000.0
2013,124,Libye,0.0
2016,124,Libye,0.0
2013,126,Lituanie,0.0
2016,126,Lituanie,0.0
2013,256,Luxembourg,0.0
2016,256,Luxembourg,0.0
2013,129,Madagascar,8199999.999999999
2016,129,Madagascar,10700000.0
2013,131,Malaisie,1000000.0
2016,131,Malaisie,900000.0
2013,130,Malawi,3700000.0
2016,130,Malawi,4800000.0
2013,132,Maldives,0.0
2016,132,Maldives,0.0
2013,133,Mali,1000000.0
2016,133,Mali,1100000.0
2013,134,Malte,0.0
2016,134,Malte,0.0
2013,143,Maroc,1400000.0
2016,143,Maroc,1400000.0
2013,137,Maurice,0.0
2016,137,Maurice,0.0
2013,136,Mauritanie,300000.0
2016,136,Mauritanie,500000.0
2013,138,Mexique,5400000.0
2016,138,Mexique,4800000.0
2013,145,Micronésie (États fédérés de),0.0
2016,145,Micronésie (États fédérés de),0.0
2013,141,Mongolie,500000.0
2016,141,Mongolie,600000.0
2013,273,Monténégro,0.0
2016,273,Monténégro,0.0
2013,144,Mozambique,7700000.0
2016,144,Mozambique,8800000.0
2013,28,Myanmar,6500000.0
2016,28,Myanmar,5600000.0
2013,147,Namibie,700000.0
2016,147,Namibie,600000.0
2013,148,Nauru,0.0
2016,148,Nauru,0.0
2013,149,Népal,2600000.0
2016,149,Népal,2800000.0
2013,157,Nicaragua,1100000.0
2016,157,Nicaragua,1000000.0
2013,158,Niger,1900000.0
2016,158,Niger,3000000.0
2013,159,Nigéria,12200000.0
2016,159,Nigéria,21500000.0
2013,160,Nioué,0.0
2016,160,Nioué,0.0
2013,162,Norvège,0.0
2016,162,Norvège,0.0
2013,153,Nouvelle-Calédonie,0.0
2016,153,Nouvelle-Calédonie,0.0
2013,156,Nouvelle-Zélande,0.0
2016,156,Nouvelle-Zélande,0.0
2013,221,Oman,200000.0
2016,221,Oman,200000.0
2013,226,Ouganda,12600000.0
2016,226,Ouganda,17200000.0
2013,235,Ouzbékistan,2200000.0
2016,235,Ouzbékistan,2300000.0
2013,165,Pakistan,38400000.0
2016,165,Pakistan,39500000.0
2013,180,Palaos,0.0
2016,180,Palaos,0.0
2013,166,Panama,400000.0
2016,166,Panama,400000.0
2013,168,Papouasie-Nouvelle-Guinée,0.0
2016,168,Papouasie-Nouvelle-Guinée,0.0
